MSUSAM,MSUTDK,MSSWIT,MSJPAN,MSCNDA,MSAUST,MSNZEA,MSSWDN,MSNWAY,MSDNMK,MSGERM,MSITAL,MSFRNC,MSNETH,MSBELG,MSFIND,MSEIRE,MSHGKG,MSSARF,MSSING,MSASTR,MSINDI,MSINDF,MSMALF,MSMEXF,MSPHLF,MSPLND,MSPORD,MSKORE,MSSPAN,MSTAIW,MSTHAF,MSBRAZ,MSISRL
1203.548,2021.119,2077.745,5377.84,889.695,862.05,147.67,3177.801,2056.566,2409.157,1629.612,462.782,1787.044,3717.294,3495.938,136.318,217.117,13716.993,200.25,4389.532,1967.133,172.434,693.123,453.024,2124.316,724.74,623.298,84.305,195.059,712.856,333.785,786.252,1023.49,84.376
1178.293,1927.851,2064.887,5245.729,909.901,816.387,145.635,3188.948,1932.392,2416.478,1533.462,463.149,1666.814,3616.269,3306.437,138.831,210.499,13133.071,206.57,4576.278,1869.372,162.817,665.747,450.787,2159.891,665.784,510.892,84.112,224.919,692.788,344.435,756.245,1104.556,86.547
1205.588,2040.044,2085.405,5390.227,898.931,839.503,155.073,3494.786,2042.428,2464.999,1619.585,438.892,1726.972,3861.739,3434.08,155.986,215.274,13232.096,223.103,4796.055,1808.326,161.317,685.961,447.356,1983.764,717.451,420.185,87.625,226.127,713.698,318.16,789.77,1023.345,88.694
1164.663,1951.516,2041.953,5119.628,849.475,808.455,148.998,3400.162,2008.203,2365.327,1535.039,408.717,1709.188,3667.826,3378.453,140.534,204.639,11624.948,220.322,4529.505,1775.523,155.914,610.639,409.501,2003.765,670.783,434.951,86.259,216.1,701.943,309.659,703.241,982.156,78.636
1182.011,1953.823,2093.739,5179.029,864.359,826.565,143.193,3348.09,2159.654,2429.113,1590.864,416.728,1651.299,3768.681,3428.873,144.48,211.9,11265.848,227.335,4564.381,1827.927,148.007,584.343,390.348,1327.464,677.685,386.74,85.5,202.526,658.589,349.077,706.554,926.97,78.201
1214.883,1924.215,2077.578,4877.629,820.61,777.447,147.948,3368.192,2179.976,2464.131,1561.298,445.139,1613.388,3816.075,3415.091,142.961,213.895,9941.959,193.815,4202.32,1760.192,138.841,534.747,350.715,1037.234,583.668,316.052,78.134,183.958,653.314,306.261,623.24,848.133,78.716
1263.074,1935.323,2202.783,4642.724,866.176,802.985,150.834,3427.168,2101.258,2537.72,1694.27,405.263,1641.124,3927.053,3521.787,143.888,221.506,11466.719,208.721,4367.758,1848.398,131.504,579.448,398.156,789.934,588.376,332.963,83.723,180.032,670.108,315.726,665.121,722.478,69.72
1297.222,2081.291,2345.228,5070.678,903.395,795.512,156.234,3374.005,2071.951,2525.044,1656.127,382.263,1858.135,4129.048,3742.53,139.767,224.633,11759.903,237.087,4468.573,1860.842,126.544,547.956,399.491,804.288,566.876,325.18,89.476,196.551,656.97,318.123,637.413,628.919,79.594
1338.256,2110.527,2391.172,5318.893,919.573,849.902,174.05,3682.388,2246.184,2648.038,1727.01,421.617,1877.721,4271.705,3989.319,157.668,229.825,11428.09,242.537,4531.046,1851.27,120.147,523.91,394.801,957.164,573.449,455.928,89.224,196.814,712.027,290.495,643.185,749.961,83.782
1390.833,2159.658,2504.567,4989.771,958.24,831.326,170.225,3737.931,2211.996,2762.373,1742.111,423.24,1899.515,4328.908,3982.189,163.981,232.174,12933.166,236.779,4825.266,1954.026,125.038,608.184,439.004,929.584,667.294,413.91,89.519,195.399,746.26,283.448,748.131,751.129,85.258
1425.372,2162.096,2579.337,4752.091,975.082,822.777,167.125,3905.682,2319.529,2719.553,1792.108,410.949,1868.446,4377.559,3992.887,187.88,242.657,12724.838,237.408,4590.516,1980.176,120.954,634.644,431.463,1028.807,668.425,445.304,89.353,198.595,757.969,269.256,741.653,732.695,90.665
1474.114,2283.015,2606.79,5131.043,992.815,900.206,174.759,4178.863,2425.1,2911.914,1898.964,443.396,1954.579,4629.496,4128.03,208.274,250.436,12982.956,241.047,4685.432,1992.538,126,651.884,440.799,1123.157,679.189,426.208,90.55,206.361,814.188,254.941,728.751,759.925,91.491
1474.553,2229.176,2544.058,4925.43,993.952,917.716,167.982,4068.921,2285.915,2760.299,1797.031,433.109,1830.983,4355.309,3900.12,204.691,250.404,12553.786,242.603,4457.179,1842.146,121.463,619.729,415.708,1161.574,641.421,409.385,83.298,199.214,787.587,230.352,689.754,800.397,95.98
1541.034,2296.67,2765.713,4967.865,989.825,912.758,171.424,4632.482,2368.415,2806.377,1822.527,429.144,1797.279,4569.305,4044.852,213.751,256.851,13305.281,248.8,4435.221,1851.453,117.977,602.42,407.882,1091.488,611.329,438.275,86.863,217.984,789.588,241.943,686.174,840.725,97.768
1540.647,2294.263,2883.228,4690.642,981.959,890.893,178.069,4436.546,2254.017,2814.326,1801.055,408.94,1825.707,4505.696,4058.725,182.952,252.008,13334.027,254.436,4424.515,1765.201,114.893,611.048,385.42,947.652,561.94,393.584,86.667,221.705,765.547,232.277,675.038,762.712,92.146
1608.724,2308.149,2920.913,4968.914,1019,910.13,172.948,4590.136,2242.183,2829.618,1805.357,386.39,1817.561,4651.811,4130.786,179.644,253.429,13370.614,260.248,4526.207,1703.241,98.202,583.654,386.148,1029.61,559.34,385.102,83.315,204.105,824.62,228.458,634.533,761.545,92.443
1633.386,2369.333,3036.661,5223.576,1029.112,929.583,175.277,4488.896,2300.198,2900.698,1861.355,423.641,1895.182,4856.857,4365.785,151.646,259.33,13808.176,272.766,4858.999,1747.07,102.215,638.013,408.607,1057.033,599.565,375.956,86.042,195.793,863.742,246.722,680.01,748.557,96.636
1692.017,2365.789,2855.244,5155.538,1083.024,958.405,177.157,4381.649,2258.198,2997.558,1942.424,443.112,1973.007,4889.128,4465.504,149.925,263.815,15587.928,296.91,5118.169,1849.145,92.39,722.79,423.596,1184.103,660.384,499.149,93.698,191.169,871.665,229.013,742.428,878.213,95.587
1709.998,2385.123,2983.453,5064.366,1073.91,989.684,179.884,4812.138,2331.818,3039.928,1960.424,439.089,1996.968,4999.835,4420.499,146.893,267.505,15414.139,273.5,5172.458,1842.489,112.837,734.975,439.429,1075.752,649.759,503.201,96.867,187.825,930.487,233.276,700.915,843.594,99.486
1727.687,2372.008,3245.995,5243.706,1095.467,986.219,182.245,4926.102,2376.659,2966.301,1953.712,422.032,2057.382,5150.854,4318.816,147.439,277.954,15428.45,268.104,5093.853,1827.856,114.001,723.413,467.565,1162.024,637.353,498.523,98.342,191.873,917.819,246.045,690.361,832.951,91.225
1753.61,2418.213,3120.311,5542.462,1141.137,1035.627,181.942,4874.912,2520.503,2948.013,1883.169,479.908,2095.442,5176.99,4433.749,147.455,286.866,15464.086,257.353,5128.224,1840.239,128.136,782.745,492.101,1228.793,656.899,523.195,95.342,214.227,953.965,307.544,706.459,850.708,96.669
1800.809,2446.498,3016.938,5257.828,1159.711,1028.644,172.026,5094.046,2550.574,2958.919,1910.831,477.445,2073.044,5420.142,4508.578,163.062,298.161,15928.254,251.018,4874.021,1941.08,123.335,760.409,472.922,1237.073,730.218,497.546,100.259,188.53,947.289,297.438,718.019,916.468,92.599
1811.811,2432.221,3168.183,5286.238,1128.462,995.66,179.577,5164.637,2556.595,3038.678,1950.475,479.532,2111.173,5436.043,4532.983,155.826,302.099,15559.034,253.283,4702.435,1823.051,128.397,745.679,474.814,1223.059,743.393,571.6,105.551,167.294,987.833,338.067,677.246,961.213,89.854
1732.479,2449.195,3105.636,5050.132,1094.479,949.936,188.257,4954.958,2438.379,3088.209,1956.73,444.305,2053.228,5353.283,4587.62,157.818,292.57,14850.663,232.631,4343.999,1783.584,117.803,664.61,445.926,1143.965,687.684,545.44,106.964,161.219,943.424,311.067,579.927,951.216,81.153
1771.655,2576.079,3241.777,4825.021,1143.894,1011.755,193.302,5288.384,2504.13,3203.675,2002.543,441.087,2011.734,5447.015,4634.449,175.469,305.147,15336.855,235.215,4442.755,1800.969,115.446,688.748,470.156,1249.648,728.143,592.481,110.995,152.686,964.369,324.067,589.532,969.204,85.438
1871.283,2635.71,3164.895,4992.783,1189.779,1013.653,192.628,5510.127,2519.39,3196.2,2016.292,469.609,2123.515,5589.199,4697.038,177.394,318.464,16383.495,238.116,4435.332,1749.219,106.139,734.153,478.072,1247.852,711.512,616.857,108.222,150.821,988.829,331.774,589.746,988.224,87.292
1919.512,2760.599,3156.899,4658.381,1283.448,1053.49,205.432,5752.779,2614.389,3303.924,2035.435,443.92,2169.343,5732.744,4769.879,181.763,328.224,17072.71,233.4,4285.373,1761.886,103.834,728.811,488.059,1173.142,657.089,559.145,110.36,141.342,1020.501,321.288,476.23,1014.623,84.477
2064.995,2917.921,3184.992,4747.817,1377.418,1097.51,208.428,6141.796,2805.445,3387.112,2116.84,479.259,2285.227,6094.523,4915.538,197.057,338.092,18471.015,229.093,4446.682,1803.938,94.665,793.536,508.004,1223.415,689.693,578.615,112.186,138.743,1107.239,340.174,487.615,1015.544,89.803
2026.293,3019.034,3123.033,4420.198,1330.42,1095.366,208.136,6194.552,2972.982,3549.816,2124.17,480.552,2308.592,6241.91,4939.402,204.3,342.324,18375.39,223.497,4525.455,1832.154,99.994,813.531,512.989,1254.74,705.976,597.238,117.382,121.12,1220.225,346.149,431.166,1066.7,94.462
2165.497,2930.314,3217.538,3939.634,1396.336,1051.783,208.441,6340.775,3130.22,3697.109,2115.712,531.766,2361.306,6195.378,5061.932,218.062,338.386,17980.63,230.79,4621.834,1758.556,109.021,863.792,521.158,1362.739,774.058,651.539,129.124,127.513,1200.443,360.954,406.118,1190.789,107.521
2181.224,3022.029,3258.87,4032.208,1385.783,1083.083,196.271,6317.404,2987.071,3675.646,2203.82,475.664,2374.112,6450.307,5142.948,214.988,347.816,17951.34,252.242,4572.774,1763.723,116.547,873.801,543.986,1411.359,746.762,694.538,130.628,121.383,1158.649,382.909,371.817,1312.608,110.692
2084.009,3053.945,3449.408,3899.904,1316.716,1080.155,194.213,6618.043,3077.539,3791.425,2366.458,487.8,2448.304,6608.942,5221.716,216.344,343.399,16760.853,255.15,4223.676,1783.581,107.132,809.266,513.589,1383.077,726.135,640.807,134.899,119.042,1206.302,379.062,369.769,1299.77,105.44
2221.712,3110.097,3534.145,4041.873,1348.11,1110.39,196.382,6067.362,2939.001,3678.408,2281.958,494.973,2349.482,6544.914,5277.949,216.702,332.339,17035.002,256.227,4000.613,1710.642,120.719,785.441,455.955,1389.687,603.669,602.138,135.216,123.177,1277.308,403.181,353.326,1404.712,107.354
2347.995,3252.271,3799.211,4488.853,1461.317,1131.571,209.399,6544.564,3061.43,3957.315,2379.287,489.734,2330.925,6965.112,5409.94,225.067,347.596,19187.281,249.864,4259.955,1803.711,119.21,841.636,465.488,1471.361,627.478,582.723,144.645,132.802,1376.603,387.026,312.979,1494.618,116.714
2455.442,3297.525,4110.323,4824.911,1487.599,1169.454,221.199,7116.955,3146.419,4040.596,2484.787,536.438,2525.582,7514.923,5525.939,240.54,358.186,20169.665,260.644,4188.233,1785.809,137.572,862.102,453.289,1640.061,623.539,549.024,155.2,135.201,1477.932,439.619,285.748,1643.939,118.961
2650.06,3451.818,4172.999,4678.481,1584.911,1161.249,217.042,7452.191,3192.676,4302.473,2728.259,567.653,2570.021,8132.346,5608.227,266.73,378.807,21429.93,262.973,4079.882,1897.274,139.872,782.149,409.043,1890.152,546.835,514.729,156.46,130.262,1396.092,476.585,313.392,1690.897,128.447
2493.214,3395.429,3786.485,4273.281,1501.931,1082.213,204.153,7050.746,3208.128,4091.086,2458.778,553.059,2375.88,7334.033,5193.617,243.901,379.615,18620.824,251.705,3728.788,1781.46,124.716,465.049,285.516,1737.883,387.071,568.952,146.703,126.035,1368.133,456.982,208.415,1433.753,120.921
2623.869,3689.897,4175.496,4209.23,1590.105,1134.923,213.839,7896.116,3560.322,4564.377,2648.581,633.417,2628.186,7981.679,5499.105,289.304,391.538,19800.246,247.263,3871.879,1913.7,126.895,499.091,264.7,1998.778,341.135,596.999,166.58,113.563,1565.127,403.085,233.223,1588.535,126.282
2552.82,3549.853,4151.435,3817.695,1515.517,982.555,195.563,7106.867,3453.576,4365.552,2464.031,595.349,2453.219,7638.675,5468.017,267.989,383.973,14085.049,220.165,3131.34,1870.37,122.577,425.046,209.494,1628.14,299.15,504.269,161.25,78.068,1415.531,315.475,153.898,1205.588,115.417
2676.92,3567.331,4282.885,3583.906,1470.067,962.611,189.549,7275.208,3219.115,4416.262,2549.955,610.346,2505.811,7578.163,5526.441,255.487,380.925,13896.812,209.973,3416.716,1744.776,109.36,323.488,164.958,1786.175,293.115,450.571,168.537,58.532,1500.712,318.447,138.215,1241.609,117.969
2716.982,3701.959,4523.406,3379.349,1507.809,991.087,181.048,7029.422,3173.362,4792.761,2656.228,655.39,2595.003,7771.263,5654.246,240.649,396.557,14096.482,205.21,3165.589,1867.984,111.263,211.057,164.243,1931.316,264.122,463.49,172.963,40.371,1539.804,324.371,114.553,1358.364,118.092
2752.48,3881.81,4697.004,3681.389,1481.417,1057.424,178.612,7213.414,2927.742,4810.358,2736.999,715.398,2688.376,7848.157,5869.58,260.384,423.346,12132.877,213.871,2598.546,1931.884,99.721,138.365,145.806,1660.191,261.295,456.482,190.867,68.872,1663.92,306.889,153.771,1243.665,107.975
2946.083,4151.048,5144.554,3701.101,1607.625,1076.738,183.3,7895.693,3002.461,4928.747,2912.116,745.794,2915.176,8653.949,6154.926,309.622,470.661,14536.028,224.427,3270.122,2070.097,110.227,159.027,218.778,1718.176,334.358,583.423,211.804,64.654,1878.025,372.114,184.61,1338.247,112.797
